mpg;cylinders;displacement;horsepower;weight;acceleration;year;origin;name
18.0;8;3070;130.0;3504;120;70;1;chevrolet chevelle malibu
15.0;8;3500;165.0;3693;115;70;1;buick skylark 320
18.0;8;3180;150.0;3436;110;70;1;plymouth satellite
16.0;8;3040;150.0;3433;120;70;1;amc rebel sst
17.0;8;3020;140.0;3449;105;70;1;ford torino
15.0;8;4290;198.0;4341;100;70;1;ford galaxie 500
14.0;8;4540;220.0;4354;90;70;1;chevrolet impala
14.0;8;4400;215.0;4312;85;70;1;plymouth fury iii
14.0;8;4550;225.0;4425;100;70;1;pontiac catalina
15.0;8;3900;190.0;3850;85;70;1;amc ambassador dpl
NA;4;1330;115.0;3090;175;70;2;citroen ds-21 pallas
NA;8;3500;165.0;4142;115;70;1;chevrolet chevelle concours (sw)
NA;8;3510;153.0;4034;110;70;1;ford torino (sw)
NA;8;3830;175.0;4166;105;70;1;plymouth satellite (sw)
NA;8;3600;175.0;3850;110;70;1;amc rebel sst (sw)
15.0;8;3830;170.0;3563;100;70;1;dodge challenger se
14.0;8;3400;160.0;3609;80;70;1;plymouth 'cuda 340
NA;8;3020;140.0;3353;80;70;1;ford mustang boss 302
15.0;8;4000;150.0;3761;95;70;1;chevrolet monte carlo
14.0;8;4550;225.0;3086;100;70;1;buick estate wagon (sw)
24.0;4;1130;95.00;2372;150;70;3;toyota corona mark ii
22.0;6;1980;95.00;2833;155;70;1;plymouth duster
18.0;6;1990;97.00;2774;155;70;1;amc hornet
21.0;6;2000;85.00;2587;160;70;1;ford maverick
27.0;4;9700;88.00;2130;145;70;3;datsun pl510
26.0;4;9700;46.00;1835;205;70;2;volkswagen 1131 deluxe sedan
25.0;4;1100;87.00;2672;175;70;2;peugeot 504
24.0;4;1070;90.00;2430;145;70;2;audi 100 ls
25.0;4;1040;95.00;2375;175;70;2;saab 99e
26.0;4;1210;113.0;2234;125;70;2;bmw 2002
21.0;6;1990;90.00;2648;150;70;1;amc gremlin
10.0;8;3600;215.0;4615;140;70;1;ford f250
10.0;8;3070;200.0;4376;150;70;1;chevy c20
11.0;8;3180;210.0;4382;135;70;1;dodge d200
9.0;8;3040;193.0;4732;185;70;1;hi 1200d
27.0;4;9700;88.00;2130;145;71;3;datsun pl510
28.0;4;1400;90.00;2264;155;71;1;chevrolet vega 2300
25.0;4;1130;95.00;2228;140;71;3;toyota corona
25.0;4;9800;NA;2046;190;71;1;ford pinto
NA;4;9700;48.00;1978;200;71;2;volkswagen super beetle 117
19.0;6;2320;100.0;2634;130;71;1;amc gremlin
16.0;6;2250;105.0;3439;155;71;1;plymouth satellite custom
17.0;6;2500;100.0;3329;155;71;1;chevrolet chevelle malibu
19.0;6;2500;88.00;3302;155;71;1;ford torino 500
18.0;6;2320;100.0;3288;155;71;1;amc matador
14.0;8;3500;165.0;4209;120;71;1;chevrolet impala
14.0;8;4000;175.0;4464;115;71;1;pontiac catalina brougham
14.0;8;3510;153.0;4154;135;71;1;ford galaxie 500
14.0;8;3180;150.0;4096;130;71;1;plymouth fury iii
12.0;8;3830;180.0;4955;115;71;1;dodge monaco (sw)
13.0;8;4000;170.0;4746;120;71;1;ford country squire (sw)
13.0;8;4000;175.0;5140;120;71;1;pontiac safari (sw)
18.0;6;2580;110.0;2962;135;71;1;amc hornet sportabout (sw)
22.0;4;1400;72.00;2408;190;71;1;chevrolet vega (sw)
19.0;6;2500;100.0;3282;150;71;1;pontiac firebird
18.0;6;2500;88.00;3139;145;71;1;ford mustang
23.0;4;1220;86.00;2220;140;71;1;mercury capri 2000
28.0;4;1160;90.00;2123;140;71;2;opel 1900
30.0;4;7900;70.00;2074;195;71;2;peugeot 304
30.0;4;8800;76.00;2065;145;71;2;fiat 124b
31.0;4;7100;65.00;1773;190;71;3;toyota corolla 1200
35.0;4;7200;69.00;1613;180;71;3;datsun 1200
27.0;4;9700;60.00;1834;190;71;2;volkswagen model 111
26.0;4;9100;70.00;1955;205;71;1;plymouth cricket
24.0;4;1130;95.00;2278;155;72;3;toyota corona hardtop
25.0;4;9750;80.00;2126;170;72;1;dodge colt hardtop
23.0;4;9700;54.00;2254;235;72;2;volkswagen type 3
20.0;4;1400;90.00;2408;195;72;1;chevrolet vega
21.0;4;1220;86.00;2226;165;72;1;ford pinto runabout
13.0;8;3500;165.0;4274;120;72;1;chevrolet impala
14.0;8;4000;175.0;4385;120;72;1;pontiac catalina
15.0;8;3180;150.0;4135;135;72;1;plymouth fury iii
14.0;8;3510;153.0;4129;130;72;1;ford galaxie 500
17.0;8;3040;150.0;3672;115;72;1;amc ambassador sst
11.0;8;4290;208.0;4633;110;72;1;mercury marquis
13.0;8;3500;155.0;4502;135;72;1;buick lesabre custom
12.0;8;3500;160.0;4456;135;72;1;oldsmobile delta 88 royale
13.0;8;4000;190.0;4422;125;72;1;chrysler newport royal
19.0;3;7000;97.00;2330;135;72;3;mazda rx2 coupe
